date,local_time,temp_c,report_z
2026-01-31,06:00,20.0,1100Z
2026-01-31,07:00,20.0,1200Z
2026-01-31,08:00,20.0,1300Z
2026-01-31,09:00,20.0,1400Z
2026-01-31,10:00,21.0,1500Z
2026-01-31,11:00,21.0,1600Z
2026-01-31,12:00,23.0,1700Z
2026-02-01,06:00,19.0,1100Z
2026-02-01,07:00,19.0,1200Z
2026-02-01,08:00,20.0,1300Z
2026-02-01,09:00,20.0,1400Z
2026-02-01,10:00,21.0,1500Z
2026-02-01,11:00,21.0,1600Z
2026-02-01,12:00,22.0,1700Z
2026-02-02,06:00,18.0,1100Z
2026-02-02,06:07,18.0,1107Z
2026-02-02,06:40,18.0,1140Z
2026-02-02,07:00,18.0,1200Z
2026-02-02,08:00,18.0,1300Z
2026-02-02,09:00,19.0,1400Z
2026-02-02,10:00,20.0,1500Z
2026-02-02,11:00,21.0,1600Z
2026-02-02,12:00,22.0,1700Z
2026-02-03,06:00,19.0,1100Z
2026-02-03,07:00,19.0,1200Z
2026-02-03,08:00,20.0,1300Z
2026-02-03,09:00,20.0,1400Z
2026-02-03,10:00,22.0,1500Z
2026-02-03,11:00,23.0,1600Z
2026-02-03,12:00,24.0,1700Z
2026-02-04,06:00,18.0,1100Z
2026-02-04,07:00,18.0,1200Z
2026-02-04,08:00,19.0,1300Z
2026-02-04,09:00,21.0,1400Z
2026-02-04,10:00,23.0,1500Z
2026-02-04,11:00,24.0,1600Z
2026-02-04,12:00,26.0,1700Z
2026-02-05,06:00,17.0,1100Z
2026-02-05,07:00,17.0,1200Z
2026-02-05,08:00,18.0,1300Z
2026-02-05,09:00,22.0,1400Z
2026-02-05,10:00,24.0,1500Z
2026-02-05,11:00,25.0,1600Z
2026-02-05,12:00,26.0,1700Z
2026-02-06,06:00,19.0,1100Z
2026-02-06,06:24,18.0,1124Z
2026-02-06,07:00,18.0,1200Z
2026-02-06,08:00,19.0,1300Z
2026-02-06,08:18,19.0,1318Z
2026-02-06,09:00,19.0,1400Z
2026-02-06,10:00,19.0,1500Z
2026-02-06,11:00,20.0,1600Z
2026-02-06,11:24,22.0,1624Z
2026-02-06,12:00,22.0,1700Z
2026-02-07,06:00,18.0,1100Z
2026-02-07,07:00,18.0,1200Z
